country_name,sport,BRONZE,GOLD,SILVER,TOTAL
Afghanistan,Shooting,0,0,0,0
Afghanistan,Taekwondo,0,0,0,0
Albania,Athletics,0,0,0,0
Albania,Judo,0,0,0,0
Albania,Shooting,0,0,0,0
Albania,Weightlifting,0,0,0,0
Algeria,Athletics,0,0,0,0
Algeria,Boxing,0,0,0,0
Algeria,Canoe Sprint,0,0,0,0
Algeria,Cycling Road,0,0,0,0
Algeria,Fencing,0,0,0,0
Algeria,Judo,0,0,0,0
Algeria,Karate,0,0,0,0
Algeria,Marathon Swimming,0,0,0,0
Algeria,Sailing,0,0,0,0
Algeria,Shooting,0,0,0,0
Algeria,Table Tennis,0,0,0,0
Algeria,Wrestling,0,0,0,0
American Samoa,Weightlifting,0,0,0,0
Andorra,Canoe Slalom,0,0,0,0
Angola,Judo,0,0,0,0
Antigua and Barbuda,Boxing,0,0,0,0
Antigua and Barbuda,Sailing,0,0,0,0
Argentina,Athletics,0,0,0,0
Argentina,Boxing,0,0,0,0
Argentina,Canoe Slalom,0,0,0,0
Argentina,Canoe Sprint,0,0,0,0
Argentina,Cycling BMX Racing,0,0,0,0
Argentina,Cycling Mountain Bike,0,0,0,0
Argentina,Cycling Road,0,0,0,0
Argentina,Equestrian,0,0,0,0
Argentina,Fencing,0,0,0,0
Argentina,Golf,0,0,0,0
Argentina,Judo,0,0,0,0
Argentina,Marathon Swimming,0,0,0,0
Argentina,Modern Pentathlon,0,0,0,0
Argentina,Sailing,0,0,0,0
Argentina,Shooting,0,0,0,0
Argentina,Table Tennis,0,0,0,0
Argentina,Taekwondo,0,0,0,0
Argentina,Tennis,0,0,0,0
Argentina,Triathlon,0,0,0,0
Argentina,Wrestling,0,0,0,0
Armenia,Artistic Gymnastics,1,0,0,1
Armenia,Boxing,1,0,0,1
Armenia,Judo,0,0,0,0
Armenia,Shooting,0,0,0,0
Armenia,Weightlifting,0,0,1,1
Armenia,Wrestling,0,0,1,1
Aruba,Shooting,0,0,0,0
Australia,Archery,0,0,0,0
Australia,Artistic Gymnastics,0,0,0,0
Australia,Athletics,2,0,1,3
Australia,Badminton,0,0,0,0
Australia,Boxing,1,0,0,1
Australia,Canoe Slalom,1,1,0,2
Australia,Canoe Sprint,0,0,0,0
Australia,Cycling BMX Freestyle,0,1,0,1
Australia,Cycling BMX Racing,0,0,0,0
Australia,Cycling Mountain Bike,0,0,0,0
Australia,Cycling Road,1,0,0,1
Australia,Cycling Track,0,0,0,0
Australia,Diving,1,0,0,1
Australia,Equestrian,1,0,0,1
Australia,Golf,0,0,0,0
Australia,Judo,0,0,0,0
Australia,Karate,0,0,0,0
Australia,Marathon Swimming,1,0,0,1
Australia,Modern Pentathlon,0,0,0,0
Australia,Sailing,0,1,0,1
Australia,Shooting,0,0,0,0
Australia,Skateboarding,0,1,0,1
Australia,Sport Climbing,0,0,0,0
Australia,Surfing,0,0,0,0
Australia,Swimming,4,7,3,14
Australia,Table Tennis,0,0,0,0
Australia,Taekwondo,0,0,0,0
Australia,Tennis,0,0,0,0
Australia,Trampoline Gymnastics,0,0,0,0
Australia,Triathlon,0,0,0,0
Australia,Weightlifting,0,0,0,0
Austria,Athletics,1,0,0,1
Austria,Badminton,0,0,0,0
Austria,Canoe Slalom,0,0,0,0
Austria,Canoe Sprint,0,0,0,0
Austria,Cycling Mountain Bike,0,0,0,0
Austria,Cycling Road,0,1,0,1
Austria,Cycling Track,0,0,0,0
Austria,Equestrian,0,0,0,0
Austria,Golf,0,0,0,0
Austria,Judo,1,0,1,2
Austria,Karate,1,0,0,1
Austria,Modern Pentathlon,0,0,0,0
Austria,Rowing,1,0,0,1
Austria,Shooting,0,0,0,0
Austria,Skateboarding,0,0,0,0
Austria,Sport Climbing,1,0,0,1
Austria,Swimming,0,0,0,0
Austria,Table Tennis,0,0,0,0
Austria,Triathlon,0,0,0,0
Austria,Weightlifting,0,0,0,0
Azerbaijan,Badminton,0,0,0,0
Azerbaijan,Boxing,1,0,0,1
Azerbaijan,Cycling Road,0,0,0,0
Azerbaijan,Fencing,0,0,0,0
Azerbaijan,Judo,1,0,0,1
Azerbaijan,Karate,0,0,2,2
Azerbaijan,Shooting,0,0,0,0
Azerbaijan,Taekwondo,0,0,0,0
Azerbaijan,Triathlon,0,0,0,0
Azerbaijan,Wrestling,2,0,1,3
Bahamas,Athletics,0,2,0,2
Bahrain,Athletics,0,0,1,1
Bahrain,Boxing,0,0,0,0
Bahrain,Shooting,0,0,0,0
Bangladesh,Archery,0,0,0,0
Bangladesh,Shooting,0,0,0,0
Belarus,Archery,0,0,0,0
Belarus,Athletics,1,0,0,1
Belarus,Boxing,0,0,0,0
Belarus,Canoe Sprint,0,0,0,0
Belarus,Cycling Road,0,0,0,0
Belarus,Cycling Track,0,0,0,0
Belarus,Equestrian,0,0,0,0
Belarus,Judo,0,0,0,0
Belarus,Modern Pentathlon,0,0,0,0
Belarus,Rhythmic Gymnastics,1,0,0,1
Belarus,Rowing,0,0,0,0
Belarus,Sailing,0,0,0,0
Belarus,Shooting,0,0,0,0
Belarus,Swimming,0,0,0,0
Belarus,Tennis,0,0,0,0
Belarus,Trampoline Gymnastics,0,1,0,1
Belarus,Weightlifting,0,0,0,0
Belarus,Wrestling,1,0,2,3
Belgium,Archery,0,0,0,0
Belgium,Artistic Gymnastics,0,1,0,1
Belgium,Athletics,1,1,0,2
Belgium,Badminton,0,0,0,0
Belgium,Canoe Slalom,0,0,0,0
Belgium,Canoe Sprint,0,0,0,0
Belgium,Cycling BMX Racing,0,0,0,0
Belgium,Cycling Mountain Bike,0,0,0,0
Belgium,Cycling Road,0,0,1,1
Belgium,Cycling Track,0,0,0,0
Belgium,Equestrian,0,0,0,0
Belgium,Golf,0,0,0,0
